,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hero,Title,Hero Order,Role(s),Specialty(ies),Lane Recommendation(s),Health,Health Regen,Mana,Mana Regen,Attack Speed,Physical Damage,Magical Damage,Physical Defense,Magical Defense,Movement Speed,Energy,Energy Regen,Price,Specialty,Win Rate,Hero, Name Pasive Abilities,Ability,Pasive Deskripsi,Skill 1 Name Abilities,Skill 1 Ability,Skill 1 Pasive Deskripsi,Skill 2 Name Abilities,Skill 2 Ability,Skill 2 Pasive Deskripsi,Skill 3 Name Abilities,Skill 3 Ability,Skill 3 Pasive Deskripsi
Miya,"Miya, the Moonlight Archer",1,Marksman,Finisher,Gold Lane,2524,6,445,15,1.06 ┃ 100%,100,0,17,15,240,,,10800,Reap/Damage,33W : 32L (50.77%),Miya,Moon Blessing,BUFF,"Miya gains 5% extra Attack Speed for 4s each time she hits an enemy with her Basic Attack (up to 5 stacks).
At full stacks, she summons Moonlight Shadow to aid her on each Basic Attack, dealing 30 (+30% Total Physical Attack) extra Physical Damage to the target. This damage can critically strike but cannot trigger attack effects.",Moon Arrow,BUFF AoE,"Miya shoots two extra arrows on each Basic Attack, dealing 10 (+100% Total Physical Attack) Physical Damage to the target enemy and 30% damage to the rest. This effect lasts 4s. The extra arrows can trigger attack effects.",Arrow of Eclipse,CC AoE,"Miya launches an empowered arrow on the target area, dealing 90 (+45% Total Physical Attack) Physical Damage to enemies within and immobilizing them for 1.2s. The arrow then splits into 8 scattering minor arrows, each dealing 30 (+15% Total Physical Attack) Physical Damage to the first enemy hit and slowing them by 30% for 2s.",Hidden Moonlight,Conceal Remove CC,"Miya removes all debuffs on her and conceals herself, gaining 35% extra Movement Speed. This state lasts 2.0s or until she launches an attack.
Miya gains full stacks of Moon Blessing upon leaving the state."
Balmond,"Balmond, the Bloody Beast",2,Fighter,Damage,Jungling/EXP Lane,2736,9.4,0,0,1.06 ┃ 100%,119,0,25,15,260,,,6500   299,Damage/Regen,453W : 516L (46.75%),Balmond,Bloodthirst,HEAL,"Balmond recovers 5% Max HP on minion or creep kills, and 20% on hero kills.",Soul Lock,Blink Slow,"Balmond charges in the target direction for a set distance or until he hits an enemy hero, dealing 150(+60%Total Physical Attack) Physical Damage to enemies along the way. The enemy hero hit will be slightly knocked back and slowed by 30% for 2s.",Cyclone Sweep,AoE BUFF,"Balmond spins with his axe for 3s, continuously dealing 50(+50%Total Physical Attack) Physical Damage to nearby enemies. Enemies hit multiple times will take increased damage (25% extra damage per extra hit, up to 100%). The part of damage affected by Physical Attack can critically strike.",Lethal Counter,Burst Slow,"After a short delay, Balmond smashes his axe in the target direction, dealing 400(+60%Total Physical Attack) plus 20% of the target's lost HP as True Damage to enemies in a fan-shaped area and slowing them by 40% for 2s. This skill deals up to 1000 damage to non-hero enemies."
Saber,"Saber, the Wandering Sword",3,Assassin,Charge,Jungling,2599,7,443,16,1.08 ┃ 100%,118,0,20,15,260,,,6500   299,Charge/Reap,142W : 146L (49.31%),Saber,Enemy's Bane,Debuff,Saber's attacks reduce enemies' Physical Defense by 3-8 for 5s on hit (up to 5 stacks).,Orbiting Swords,AoE BUFF,"Saber releases 5 swords that orbit around him and deal 80(+30%Extra Physical Attack) Physical Damage to nearby enemies on hit. The swords will retract back to him after a while.
When the swords are present, Saber sends a sword toward his target on each attack, dealing 210(+60%Extra Physical Attack) extra Physical Damage to the target and 50% of the damage to other enemies it passes through (damage against minions is reduced to 50% ). Each attack also reduces the cooldown of Charge by is.",Charge,Blink AoE,"Saber dashes in the target direction, dealing 75(+50%Extra Physical Attack) Physical Damage to enemies along the way while enhancing his next Basic Attack. The enhanced Basic Attack deals 75(+120%Total Physical Attack) Physical Damage and slows the target by 60% for 1s.",Triple Sweep,Burst CC,"Saber charges at the target enemy hero, knocking them airborne for 1.2s and striking them 3 times over the duration. The first two strikes deal 120(+100%Extra Physical Attack) Physical Damage each, while the third strike deals 240(+200%Extra Physical Attack) Physical Damage."
Alice,"Alice, the Queen of Blood",4,Mage/Tank,Charge/Regen,EXP Lane/Mid Lane,2573,7.2,493,18,1 ┃ 100%,114,0,21,15,240,,,15000   399,Charge/Regen,513W : 526L (49.37%),Alice,Blood Ancestry,BUFF,"A blood orb will be generated each time an enemy minion dies near Alice, or two orbs when an enemy hero dies. She can absorb the orbs to permanently increase 10 Max HP and 20 Max mana. After absorbing 12/25/50 blood orbs, Alice gains 1.5%/s Mana Regen/15% Shield and HP Regen/40 Extra Movement Speed, respectively.",Flowing Blood,Blink AoE,"Alice casts a sphere of blood energy in the target direction, dealing 400(+120%Total Magic Power) Magic Damage to enemies in its path.
Use Again: Alice immediately teleports to the blood sphere's location.",Blood Awe,CC AoE,"Alice deals 270(+90%Total Magic Power) Magic Damage to nearby enemies, immobilizing them for 1.2s and slowing them by 70% for 0.8 seconds afterward.",Blood Ode,AoE HEAL,"Alice enters the blood-draining state, consuming 50 Mana while dealing 60(+20%Total Magic Power)+0.5(+0.05%Total Mana)% of target's Max HP as Magic Damage to nearby enemies every 0.5s. She also recovers 60(+10% Total Magic Power) HP each time she damages an enemy (50% of this amount for non-hero enemies). The blood-draining state lasts until Alice runs out of Mana or the skill is cast again."
Nana,"Nana, the Sweet Leonin",5,Mage,Poke,Mid Lane/Roaming,2501,6.8,510,18,1.08 ┃ 100%,115,0,17,15,250,,,6500   299,Poke/Burst,74W : 105L (41.34%),Nana,Molina's Gift,Death Immune,"Upon taking fatal damage, Nana removes all debuffs on her and transforms, becoming untargetable and invincible and gaining 70% extra Movement Speed for 2s. She also recovers 10% Max HP over the duration.
Nana can only transform once every 150s and cannot cast skills in the transformed form.",Magic Boomerang,AoE,"Nana hurls her Magic Boomerang in the target direction, dealing 245 (+120 % Total Magic Power) Magic Damage to enemies hit on its way out and back. This damage is reduced by 20% for each extra enemy hit (up to 60%).",Molina Smooch,CC Debuff,"Nana sends Molina to the target location, who will then seek and chase the nearest enemy hero in the area and transform the first enemy hero it collides with for 1.5s. Molina also deals 250 (+50% Total Magic Power) Magic Damage to the transformed enemy, slows them by 50%, and reduces their Magic Defense by 25% for the duration.
Molina will remain stationary for up to 12s if there are no enemy heroes in the area and can chase an enemy hero for up to 2.5s before it disappears.",Molina Blitz,Burst CC,"Nana summons Molina to attack the target area 3 times, each time dealing 400 (+180% Total Magic Power) Magic Damage to enemies within and slowing them by 50% for 1s. Enemies hit twice will be stunned for 1s."
Tigreal,"Tigreal, the Warrior of Dawn",6,Tank,Crowd Control,Roaming,2690,8.4,450,12,1.03 ┃ 100%,112,0,20,15,260,,,6500,Crowd Control,102W : 130L (43.97%),Tigreal,Fearless,BUFF,"Tigreal gains a stack of blessing each time he casts a skill or is hit by a Basic Attack (excluding attacks from minions). At 4 stacks, Tigreal will consume all the stacks to negate the damage of the next Basic Attack he receives (excluding attacks from minions).",Attack Wave,AoE Slow,"Tigreal sends a shockwave in the target direction, dealing 270(+70%Total Physical Attack) Physical Damage to enemies in a fan-shaped area and slowing them by up to 30% for 1.5s. The slow effect scales with the shockwave's travel distance.",Sacred Hammer,Charge CC,"Tigreal charges in the target direction, dealing (+100%Total Physical Attack) Physical Damage to enemies in his path and sweeping them along with him.
Use Again: Tigreal can cast this skill again within 4s, dealing 280(+60%Total Physical Attack) Physical Damage to enemies in front and knocking them airborne for 1s.",Implosion,CC AoE,"Tigreal begins channeling, pulling nearby enemies toward him, then smashes the ground with his hammer, dealing 270(+130%Total Physical Attack) Physical Damage to enemies in the area and stunning them for 1.5s. The channeling can be interrupted by transformation and airborne effects."
Alucard,"Alucard, the Demon Hunter",7,Fighter/Assassin,Chase/Damage,Jungling,2621,7.8,0,0,1.12 ┃ 100%,123,0,21,15,260,,,15000,Chase/Damage,30W : 39L (43.48%),Alucard,Pursuit,BUFF,"After each skill cast, his next Basic Attack deals 140% total physical attack and allows him to dash to the target's location.",Groundsplitter,Blink AoE,"Alucard rolls to the target location and slams his blade on the ground, dealing 270(+110% Extra Physical Attack) Physical Damage to enemies hit and slowing them by 40% for 2s.",Whirling Smash,AoE,"Alucard launches a whirling slash, dealing 345(+120%Extra Physical Attack) Physical Damage to nearby enemies.",Fission Wave,BUFF Burst,"Alucard get 10% permanent hybrid life steal
Alucard absorbs the energy of enemies in the target direction and Alucard gains 10 hybrid defence for each hero hit and, slowing the enemies by 30% for 6s and reducing hybrid defense by 10, and marking them for 6s and reduces cooldown for the other skills by 50%. 
Use Again: Alucard releases a shockwave in the target direction, dealing 400(+200%Extra Physical Attack) Physical Damage to enemies hit."
Karina,"Karina, the Shadow Blade",8,Assassin,Finisher,Jungling,2633,7.8,431,16,1.12 ┃ 100%,121,0,20,15,260,,,32000   599,Reap/Magic Damage,607W : 602L (50.21%),Karina,Shadow Combo,BUFF Damage,"Karina's third consecutive attack on the same enemy deals extra True Damage equal to 50 plus 5 (+2.5% Total Magic Power) % of their lost HP (up to 2000 True Damage against creeps).
If the target is an enemy hero, the cooldowns of Karina's non-Ultimate skills are reduced by 1.5s.",Dance of Blades,BUFF Speed Up,"Karina enters the Dance of Blades state for 3.5s, during which she gains 45% extra Movement Speed, blocks all incoming Basic Attacks, and reflects 100 (+30% Total Magic Power) Magic Damage back to the attacker (the damage reflection effect has a cooldown of 0.4s).
Karina's next Basic Attack within the duration deals 150 (+55% Total Magic Power) Magic Damage, slows the target by 45% for 1s, and is guaranteed to critically strike. Casting the enhanced Basic Attack or Shadow Assault ends the Dance of Blades state early.",Dance of Death,AoE,"Karina launches a spinning slash, dealing 375 (+125% Total Magic Power) Magic Damage to nearby enemies.",Shadow Assault,Burst Blink,"Karina dashes to the target enemy hero, dealing them 350 (+160% Total Magic Power) Magic Damage, applying a Shadow Mark to them, and leaving a Shadowform behind them. The Shadow Mark and Shadowform both last 5s. If the enemy dies within the duration, the cooldown of this skill is reset.
Use Again: Karina dashes back to the Shadowform's location, dealing 150 (+50% Total Magic Power) Magic Damage to enemies along the way."
Akai,"Akai, the Panda Warrior",9,Tank,Guard,Roaming/Jungling,2769,8.4,422,12,1.06 ┃ 100%,115,0,24,15,260,,,32000,Guard/Crowd Control,1481W : 1474L (50.12%),Akai,Tai Chi,BUFF,"Akai gains a 25(+4%Total HP) shield for 4s on each skill cast and can mark enemy heroes and creeps hit by his skills. 
Akai's Basic Attack deals 25(+4%Total HP) extra Physical Damage to marked enemies.",Headbutt,Blink CC,"Akai charges in the target direction, dealing 300(+50%Total Physical Attack) Physical Damage to enemies along the away. If Akai hits an enemy hero during this process, he'll knock them airborne for 0.5s and be able to roll in the Joystick's direction once. 

Akai can cast Headbutt during Heavy Spin to quickly adjust his position.",Body Slam,AoE,"Akai smashes the ground with his body, dealing 270(+6%Total HP) Physical Damage to enemies in the area and slowing them by 30% for 2 seconds.",Heavy Spin,CC AoE,"Akai removes all debuffs on him and spins for 4s, gaining Slow Immunity while continuously dealing 200(+100%Extra Physical Attack) Physical Damage to nearby enemies and knocking them back. Enemies heroes knocked back will knock back other heroes they collide with during the process.
Akai also gradually increases his Movement Speed to 70% over the duration. This skill can only be interrupted by Suppression and Morph effects."
Franco,"Franco, the Frozen Warrior",10,Tank,Initiator,Roaming,2709,9.2,440,10,1.03 ┃ 100%,116,0,25,15,260,,,32000,Initiator/Control,1093W : 935L (53.9%),Franco,Wasteland Force,BUFF,"If no damage is taken within 5s, Franco gains 10% extra Movement Speed, regenerates 1% Max HP per second, and begins accumulating Wasteland Force (up to 10 stacks).

Franco will consume all the Wasteland Force stacks on his next skill cast, increasing the skill's damage by up to 150%.",Iron Hook,CC Damage,"Franco launches an iron hook in the target direction, dealing 400(+100%Total Physical Attack) Physical Damage to the first enemy hit and dragging them toward him.",Fury Shock,Slow,"Franco lashes out, dealing Physical Damage equal to 300 plus 4% of his Max HP to nearby enemies and slowing them by 70% for 1.5s.",Bloody Hunt,Burst CC,"Franco suppresses the target enemy hero for 1.8s and strikes them 6 times over the duration, each time dealing 50 (+70% Total Physical Attack) Physical Damage."
