Name,Name Ability,Ability Deskirpsi,Attributes
Sea Halberd,Life Drain,"Upon dealing damage to the target, reduces Shield and HP Regen by  for 3s.","Attack Speed:: + 25%
Attack Damage:: + 80
Passive:: Life Drain"
Rose Gold Meteor,Lifeline,"When HP is about to drop below 30%, gains a 510~1350 shield (scales with level) and 25 extra Magic Defense for 3s. Cooldown: 40s.","Physical Lifesteal:: + 5%
Magic Resistance:: + 30
Attack Damage:: + 60
Passive:: Lifeline"
Bloodlust Axe,0,+20% Spell Vamp,"Cooldown Reduction:: + 10%
Attack Damage:: + 70
Cooldown Reduction:: + 10%"
Hunter Strike,Retribution,+15 Physical PEN,"Cooldown Reduction:: + 10%
Attack Damage:: + 80
Cooldown Reduction:: + 10%
Passive:: Retribution"
Blade of Despair,Despair,Attacking enemy units that have HP below 50% will increase hero's Physical Attack by 25%. Lasts 2s. (Takes affect before damage is dealt),"Attack Damage:: + 160
Movement Speed:: + 5%
Passive:: Despair"
Blade of the Heptaseas,Ambush,+15 Physical PEN,"Health:: + 250
Attack Damage:: + 70
Passive:: Ambush"
Great Dragon Spear,Supreme Warrior,"After casting an Ultimate, increase Movement Speed by 15% for 7.5s. This effect has a 15s cooldown.","Cooldown Reduction:: + 10%
Attack Damage:: + 70
Cooldown Reduction:: + 10%
Critical Chance:: + 20%
Passive:: Supreme Warrior"
Windtalker,"Typhoon, Activate","Every 5-3s, the next Basic Attack hits up to 3 enemy units and deals 150-362 Magic damage. The CD of this effect drops to the minimum when Crit Chance rises to 50%, while damage rises to the maximum when a Attack SPD rises to 3.00. This attack can cause Crit Damage. To minions, deals 200% increased Damage.","Attack Speed:: + 40%
Critical Chance:: + 10%
Movement Speed:: + 20
Passive:: Typhoon, Activate"
Endless Battle,"Divine Justice, Chase Fate","In 3s after using the skill, the caster's next Basic Attack will deal additional True Damage as much as 60% of Physical Attack with a cooldown of 1.5s.","Health:: + 250
Mana Regen:: + 5
Physical Lifesteal:: + 10%
Cooldown Reduction:: + 10%
Attack Damage:: + 65
Cooldown Reduction:: + 10%
Movement Speed:: + 5%
Passive:: Divine Justice, Chase Fate"
Berserker's Fury,Doom,+40% Critical Damage,"Attack Damage:: + 65
Critical Chance:: + 25%
Passive:: Doom"
Haas's Claws,Insanity,+25% Physical Lifesteal,"Attack Damage:: + 70
Passive:: Insanity"
Malefic Roar,Armor Buster,+35% Physical PEN,"Attack Damage:: + 60
Passive:: Armor Buster"
War Axe,Fighting Spirit,"Enter a battle stance upon dealing damage to any enemy unit. This increases the hero's Physical Attack by 9 and Physical Penetration by 3 each second for 3s, to a max of 8 stacks (Marksmen/Mages/Supports only receive 33% of these stacked effects); also grants 15% Movement Speed at full stacks.","Health:: + 550
Cooldown Reduction:: + 10%
Attack Damage:: + 35
Cooldown Reduction:: + 10%
Passive:: Fighting Spirit"
Wind of Nature,0,Immune to all Physical Damage. Last 2s. (Duration becomes half when used by non-marksmen). CD 70s.,"Physical Lifesteal:: + 10%
Attack Speed:: + 20%
Attack Damage:: + 30
Active:: Wind Chant"
Golden Staff,"Swift, Endless Strike",Unable to increase critical chance. Every 1% of critical chance gained will increase attack speed by 1%.,"Attack Speed:: + 15%
Attack Damage:: + 65
Passive:: Swift, Endless Strike"
Corrosion Scythe,"Corrosive, Impulse","Each time a Basic Attack deals damage to enemies, reduces the target's Movement Speed by 8% (halved for ranged Basic Attacks) for 1.5s. Stacking up to 5 times.","Attack Speed:: + 25%
Attack Damage:: + 50
Movement Speed:: + 5%
Passive:: Corrosive, Impulse"
Demon Hunter Sword,Devour,Basic attacks will deal 9% of the target's current HP as additional physical damage (up to 60 against creeps and minions).,"Attack Speed:: + 25%
Attack Damage:: + 35
Passive:: Devour"
Magic Blade,Lifeline,"When HP is about to drop below 30%, gains a 280~700 shield (scales with level) and 12 extra Magic Defense for 3s. Cooldown: 40s.","Magic Resistance:: + 24
Attack Damage:: + 40
Passive:: Lifeline"
Fury Hammer,0,+12 Physical PEN,Attack Damage:: + 35
Rogue Meteor,0,0,"Attack Speed:: + 15%
Critical Chance:: + 10%"
Ogre Tomahawk,Angry,Basic Attack will increase Movement Speed by 10%,"Health:: + 230
Attack Damage:: + 30
Passive:: Angry"
Legion Sword,0,0,Attack Damage:: + 60
Swift Crossbow,0,Each Basic Attack deals 40 extra Adaptive Damage.,Attack Speed:: + 20%
Regular Spear,0,0,"Attack Speed:: + 10%
Attack Damage:: + 20"
Iron Hunting Bow,0,0,"Cooldown Reduction:: + 5%
Attack Damage:: + 10
Cooldown Reduction:: + 5%"
Vampire Mallet,0,0,"Physical Lifesteal:: + 8%
Attack Damage:: + 8"
Javelin,0,0,Critical Chance:: + 8%
Knife,0,0,Attack Speed:: + 10%
Dagger,0,0,Attack Damage:: + 15
Power Potion,Increase Power,"Automatically used after purchasing, increases Physical Attack by 30 and Physical Lifesteal by 5% for 120s.",Passive:: Increase Power
Flask of the Oasis,Blessing,+12% Healing Effect,"Health:: + 300
Cooldown Reduction:: + 10%
Magic Power:: + 60
Cooldown Reduction:: + 10%
Passive:: Blessing"
Genius Wand,Magic,+10 Magic PEN,"Magic Power:: + 75
Movement Speed:: + 5%
Passive:: Magic"
Lightning Truncheon,Resonate,"Every 6s, the next skill echoes, dealing 20-1000 Magic Damage (scales with the hero's Max Mana) to up to 3 enemies..","Mana:: + 300
Cooldown Reduction:: + 10%
Magic Power:: + 75
Cooldown Reduction:: + 10%
Passive:: Resonate"
Fleeting Time,Timestream,Hero kills or assists reduce Ultimate's current cooldown by 30%.,"Mana:: + 350
Cooldown Reduction:: + 15%
Magic Power:: + 70
Cooldown Reduction:: + 15%
Passive:: Timestream"
Blood Wings,Guard,Gain a Shield equal to 200% Magic Power. Gain another after 30s when it breaks.,"Health:: + 500
Magic Power:: + 175
Passive:: Guard"
Clock of Destiny,"Time, Reincarnate",Adds 25 HP and 4 Magic Power every 20s. Up to 12 times.,"Health:: + 615
Mana:: + 600
Magic Power:: + 60
Passive:: Time, Reincarnate"
Starlium Scythe,Crisis,"Within 3s after casting a skill, the caster's next Basic Attack will deal additional True Damage equal to 100 plus 100% Magic Power and briefly grant 10% Movement Speed. This effect has a 1.5s cooldown.","Mana Regen:: + 6
Cooldown Reduction:: + 10
Magic Power:: + 70
Cooldown Reduction:: + 10
Passive:: Crisis"
Glowing Wand,Scorch,"Skills burn the target for 3s, dealing 1.5% of their Max HP as Magic Damage per second and increasing their Magic Damage taken by 2-4 (up to 6 stacks).","Health:: + 400
Magic Power:: + 75
Movement Speed:: + 5%
Passive:: Scorch"
Ice Queen Wand,Ice Bound,Skills that deal damage to an enemy hero will slow them by 15%. This effect lasts 3s. Stacks up to 2 times.,"Health:: + 300
Magic Power:: + 75
Movement Speed:: + 7%
Passive:: Ice Bound"
Concentrated Energy,Recharge,+25% Magic Lifesteal,"Health:: + 700
Magic Power:: + 70
Passive:: Recharge"
Holy Crystal,Mystery,Increases Magic Power by 21%~35% (Scales with level).,"Magic Power:: + 100
Passive:: Mystery"
Divine Glaive,Spellbreaker,+35% Magic PEN,"Magic Power:: + 65
Passive:: Spellbreaker"
