Name,Ability,Attributes
Sea Halberd,"Upon dealing damage to the target, reduces Shield and HP Regen by  for 3s.","Attack Speed:: + 25%
Attack Damage:: + 80
Passive:: Life Drain"
Rose Gold Meteor,"When HP is about to drop below 30%, gains a 510~1350 shield (scales with level) and 25 extra Magic Defense for 3s. Cooldown: 40s.","Physical Lifesteal:: + 5%
Magic Resistance:: + 30
Attack Damage:: + 60
Passive:: Lifeline"
Bloodlust Axe,+20% Spell Vamp,"Cooldown Reduction:: + 10%
Attack Damage:: + 70
Cooldown Reduction:: + 10%"
Hunter Strike,+15 Physical PEN,"Cooldown Reduction:: + 10%
Attack Damage:: + 80
Cooldown Reduction:: + 10%
Passive:: Retribution"
Blade of Despair,Attacking enemy units that have HP below 50% will increase hero's Physical Attack by 25%. Lasts 2s. (Takes affect before damage is dealt),"Attack Damage:: + 160
Movement Speed:: + 5%
Passive:: Despair"
Blade of the Heptaseas,+15 Physical PEN,"Health:: + 250
Attack Damage:: + 70
Passive:: Ambush"
Great Dragon Spear,"After casting an Ultimate, increase Movement Speed by 15% for 7.5s. This effect has a 15s cooldown.","Cooldown Reduction:: + 10%
Attack Damage:: + 70
Cooldown Reduction:: + 10%
Critical Chance:: + 20%
Passive:: Supreme Warrior"
Windtalker,"Every 5-3s, the next Basic Attack hits up to 3 enemy units and deals 150-362 Magic damage. The CD of this effect drops to the minimum when Crit Chance rises to 50%, while damage rises to the maximum when a Attack SPD rises to 3.00. This attack can cause Crit Damage. To minions, deals 200% increased Damage.","Attack Speed:: + 40%
Critical Chance:: + 10%
Movement Speed:: + 20
Passive:: Typhoon, Activate"
Endless Battle,"In 3s after using the skill, the caster's next Basic Attack will deal additional True Damage as much as 60% of Physical Attack with a cooldown of 1.5s.","Health:: + 250
Mana Regen:: + 5
Physical Lifesteal:: + 10%
Cooldown Reduction:: + 10%
Attack Damage:: + 65
Cooldown Reduction:: + 10%
Movement Speed:: + 5%
Passive:: Divine Justice, Chase Fate"
Berserker's Fury,+40% Critical Damage,"Attack Damage:: + 65
Critical Chance:: + 25%
Passive:: Doom"
Haas's Claws,+25% Physical Lifesteal,"Attack Damage:: + 70
Passive:: Insanity"
Malefic Roar,+35% Physical PEN,"Attack Damage:: + 60
Passive:: Armor Buster"
War Axe,"Enter a battle stance upon dealing damage to any enemy unit. This increases the hero's Physical Attack by 9 and Physical Penetration by 3 each second for 3s, to a max of 8 stacks (Marksmen/Mages/Supports only receive 33% of these stacked effects); also grants 15% Movement Speed at full stacks.","Health:: + 550
Cooldown Reduction:: + 10%
Attack Damage:: + 35
Cooldown Reduction:: + 10%
Passive:: Fighting Spirit"
Wind of Nature,Immune to all Physical Damage. Last 2s. (Duration becomes half when used by non-marksmen). CD 70s.,"Physical Lifesteal:: + 10%
Attack Speed:: + 20%
Attack Damage:: + 30
Active:: Wind Chant"
Golden Staff,Unable to increase critical chance. Every 1% of critical chance gained will increase attack speed by 1%.,"Attack Speed:: + 15%
Attack Damage:: + 65
Passive:: Swift, Endless Strike"
Corrosion Scythe,"Each time a Basic Attack deals damage to enemies, reduces the target's Movement Speed by 8% (halved for ranged Basic Attacks) for 1.5s. Stacking up to 5 times.","Attack Speed:: + 25%
Attack Damage:: + 50
Movement Speed:: + 5%
Passive:: Corrosive, Impulse"
Demon Hunter Sword,Basic attacks will deal 9% of the target's current HP as additional physical damage (up to 60 against creeps and minions).,"Attack Speed:: + 25%
Attack Damage:: + 35
Passive:: Devour"
Magic Blade,"When HP is about to drop below 30%, gains a 280~700 shield (scales with level) and 12 extra Magic Defense for 3s. Cooldown: 40s.","Magic Resistance:: + 24
Attack Damage:: + 40
Passive:: Lifeline"
Fury Hammer,+12 Physical PEN,Attack Damage:: + 35
Rogue Meteor,0,"Attack Speed:: + 15%
Critical Chance:: + 10%"
Ogre Tomahawk,Basic Attack will increase Movement Speed by 10%,"Health:: + 230
Attack Damage:: + 30
Passive:: Angry"
Legion Sword,0,Attack Damage:: + 60
Swift Crossbow,Each Basic Attack deals 40 extra Adaptive Damage.,Attack Speed:: + 20%
Regular Spear,0,"Attack Speed:: + 10%
Attack Damage:: + 20"
Iron Hunting Bow,0,"Cooldown Reduction:: + 5%
Attack Damage:: + 10
Cooldown Reduction:: + 5%"
Vampire Mallet,0,"Physical Lifesteal:: + 8%
Attack Damage:: + 8"
Javelin,0,Critical Chance:: + 8%
Knife,0,Attack Speed:: + 10%
Dagger,0,Attack Damage:: + 15
Power Potion,"Automatically used after purchasing, increases Physical Attack by 30 and Physical Lifesteal by 5% for 120s.",Passive:: Increase Power
Flask of the Oasis,+12% Healing Effect,"Health:: + 300
Cooldown Reduction:: + 10%
Magic Power:: + 60
Cooldown Reduction:: + 10%
Passive:: Blessing"
Genius Wand,+10 Magic PEN,"Magic Power:: + 75
Movement Speed:: + 5%
Passive:: Magic"
