Date,Stage,Match_id,Round,Team,Player,Pick,Win,Enemy,Role Pick,Ban,Role Ban,Spell,Emblem,Talent 1,Talent 2,Talent 3,Time,K,D,A,Gold,Level,Turtle,Lord ,Tower,"Buff
 Biru","Buff 
Merah"
6/29/2024,Wildcard,11008,1, Brute Force,Marbon,X.Borg,Win,Trained to Kill,Fighter,Edith,Tank/Marksman,Flicker,Tank,Vitality,Festival of Blood,Impure Rage,18:10,3,3,5,10925,15,2,1,6,9,9
6/29/2024,Wildcard,11008,1, Brute Force,Mashiro,Fredrinn,Win,Trained to Kill,Fighter/Tank,Angela,Support,Retribution,Tank,Vitality,Seasoned Hunter,Concussive Blast,18:10,2,2,7,10039,15,2,1,6,9,9
6/29/2024,Wildcard,11008,1, Brute Force,Kodjik,Valentina,Win,Trained to Kill,Mage,Luo Yi,Mage,Flicker,Mage,Rupture,Wilderness Blessing.,Quantum Charge,18:10,3,2,7,9523,15,2,1,6,9,9
6/29/2024,Wildcard,11008,1, Brute Force,Fangor,Hilda,Win,Trained to Kill,Tank/Fighter,Minotaur,Tank/Support,Sprint,Tank,Agility,Master Assassin,Concussive Blast,18:10,2,4,4,8409,15,2,1,6,9,9
6/29/2024,Wildcard,11008,1, Brute Force,blackMarch,Moskov,Win,Trained to Kill,Marksman,Grock,Tank/Fighter,Purify,Common,Thrill,Master Assassin,Quantum Charge,18:10,1,2,4,11687,15,2,1,6,9,9
6/29/2024,Wildcard,11008,1,Trained to Kill,Masarap,Terizla,Lose, Brute Force,Fighter,Paquito,Fighter/Assassin,Flicker,Fighter,Agility,Festival of Blood,Brave Smite,18:10,1,3,6,9394,15,1,2,8,10,8
6/29/2024,Wildcard,11008,1,Trained to Kill,Yahiko,Ling,Lose, Brute Force,Assassin,Arlott,Fighter/Assassin,Retribution,Assassin,Fatal,Seasoned Hunter,Quantum Charge,18:10,6,1,2,14541,15,1,2,8,10,8
6/29/2024,Wildcard,11008,1,Trained to Kill,Bobe,Zhask,Lose, Brute Force,Mage,Chip,Support/Tank,Flicker,Mage,Rupture,Bargain Hunter,War Cry,18:10,5,3,4,10852,15,1,2,8,10,8
6/29/2024,Wildcard,11008,1,Trained to Kill,APEX,Khufra,Lose, Brute Force,Tank,Roger,Fighter/Marksman,Flicker,Tank,Firmness,Tenacity,Concussive Blast,18:10,1,3,6,8185,15,1,2,8,10,8
6/29/2024,Wildcard,11008,1,Trained to Kill,VVitch,Claude,Lose, Brute Force,Marksman,Harith,Mage,Purify,Common,Agility,Tenacity,Quantum Charge,18:10,0,1,6,12087,15,1,2,8,10,8
6/29/2024,Wildcard,11009,1,Trained to Kill,Masarap,Yu Zhong,Win, HomeBois,Fighter,Natan,Marksman,Petrify,Fighter,Rupture,Festival of Blood,War Cry,"14:45",2,2,6,8267,14,1,1,6,9,6
6/29/2024,Wildcard,11009,1,Trained to Kill,Yahiko,Julian,Win, HomeBois,Fighter/Mage,Claude,Marksman,Retribution,Mage,Swift,Seasoned Hunter,Impure Rage,"14:45",1,3,8,9681,15,1,1,6,9,6
6/29/2024,Wildcard,11009,1,Trained to Kill,Bobe,Angela,Win, HomeBois,Support,Harith,Mage,Flicker,Support,Inspire,Bargain Hunter,Impure Rage,"14:45",4,2,7,8568,14,1,1,6,9,6
6/29/2024,Wildcard,11009,1,Trained to Kill,APEX,Ruby,Win, HomeBois,Fighter/Tank,Luo Yi,Mage,Flicker,Tank,Vitality,Tenacity,Brave Smite,"14:45",0,7,4,6266,13,1,1,6,9,6
6/29/2024,Wildcard,11009,1,Trained to Kill,VVitch,Roger,Win, HomeBois,Fighter/Marksman,Chip,Support/Tank,Purify,Assassin,Thrill,Master Assassin,Quantum Charge,"14:45",4,2,2,9443,14,1,1,6,9,6
6/29/2024,Wildcard,11009,1, HomeBois,Sepat,Edith,Lose,Trained to Kill,Tank/Marksman,Faramis,Support/Mage,Flicker,Tank,Agility,Pull Yourself Together,Quantum Charge,"14:45",4,1,8,9156,15,2,1,8,7,8
6/29/2024,Wildcard,11009,1, HomeBois,Chibi,Ling,Lose,Trained to Kill,Assassin,Moskov,Marksman,Retribution,Assassin,Fatal,Seasoned Hunter,War Cry,"14:45",8,3,6,13482,15,2,1,8,7,8
6/29/2024,Wildcard,11009,1, HomeBois,Udil,Vexana,Lose,Trained to Kill,Mage,Valentina,Mage,Flicker,Mage,Rupture,Wilderness Blessing.,Impure Rage,"14:45",2,4,8,7774,13,2,1,8,7,8
6/29/2024,Wildcard,11009,1, HomeBois,Xorn,Minotaur,Lose,Trained to Kill,Tank/Support,Aamon,Assassin,Flicker,Tank,Inspire,Wilderness Blessing.,Concussive Blast,"14:45",0,2,14,6781,13,2,1,8,7,8
6/29/2024,Wildcard,11009,1, HomeBois,Nets,Minsitthar,Lose,Trained to Kill,Fighter,Fanny,Assassin,Flicker,Assassin,Swift,Tenacity,Quantum Charge,"14:45",2,1,11,10749,15,2,1,8,7,8
6/29/2024,Wildcard,11010,1,IHC Esports,Aizn,Terizla,Win, Brute Force,Fighter,Harith,Mage,Flicker,Tank,Rupture,Festival of Blood,Brave Smite,13:17,1,1,6,8273,13,3,2,8,8,6
6/29/2024,Wildcard,11010,1,IHC Esports,Zxaura,Roger,Win, Brute Force,Fighter/Marksman,Chip,Support/Tank,Retribution,Assassin,Swift,Seasoned Hunter,Quantum Charge,13:17,9,0,5,13043,15,3,2,8,8,6
6/29/2024,Wildcard,11010,1,IHC Esports,Forbid,Valentina,Win, Brute Force,Mage,Angela,Support,Flicker,Mage,Inspire,Wilderness Blessing.,Impure Rage,13:17,4,1,10,9049,15,3,2,8,8,6
6/29/2024,Wildcard,11010,1,IHC Esports,Ethan,Minotaur,Win, Brute Force,Tank/Support,Ling,Assassin,Flicker,Tank,Agility,Pull Yourself Together,Concussive Blast,13:17,1,0,14,7581,13,3,2,8,8,6
6/29/2024,Wildcard,11010,1,IHC Esports,Bebex,Ruby,Win, Brute Force,Fighter/Tank,Grock,Tank/Fighter,Flicker,Fighter,Thrill,Festival of Blood,Brave Smite,13:17,2,1,6,9639,14,3,2,8,8,6
6/29/2024,Wildcard,11010,1, Brute Force,Marbon,Barats,Lose,IHC Esports,Tank/Fighter,Julian,Fighter/Mage,Flicker,Common,Agility,Tenacity,Brave Smite,13:17,1,4,1,6442,12,0,0,3,6,6
6/29/2024,Wildcard,11010,1, Brute Force,Mashiro,Nolan,Lose,IHC Esports,Assassin,Mathilda,Support/Assassin,Retribution,Assassin,Thrill,Seasoned Hunter,Impure Rage,13:17,1,3,1,7962,15,0,0,3,6,6
